LBE,Brooklyn,11204,
MBE,WBE,BLACK,Cambria Heights,11411,
MBE,BLACK,Yorktown Heights,10598,
MBE,BLACK,Long Beach,11561,
MBE,ASIAN,Brooklyn,11235,
MBE,WBE,ASIAN,New York,10010,
MBE,ASIAN,New York,10026,
MBE,BLACK,New York,10026,
MBE,HISPANIC,New York,10034,
MBE,WBE,BLACK,Staten Island,10303,
MBE,ASIAN,New York,10018,
MBE,WBE,HISPANIC,New York,10034,
MBE,WBE,ASIAN,New York,10013,
MBE,BLACK,Jamaica,11434,
WBE,NON-MINORITY,New York,10022,
MBE,BLACK,Staten Island,10304,
MBE,BLACK,Bronx,10454,
WBE,NON-MINORITY,New Rochelle,10801,
WBE,NON-MINORITY,Staten Island,10301,
WBE,NON-MINORITY,New York,10006,
MBE,BLACK,Brooklyn,11239,
MBE,HISPANIC,Lincoln Park,7035,
MBE,WBE,BLACK,New York,10027,
WBE,NON-MINORITY,Staten Island,10310,
MBE,ASIAN,New York,10013,
WBE,NON-MINORITY,Cliffside Park,7010,
MBE,WBE,BLACK,Bronx,10456,
LBE,New York,10003,
MBE,HISPANIC,Staten Island,10303,
MBE,ASIAN,New York,10001,
MBE,BLACK,New York,11435,
WBE,Ozone Park,11417,
WBE,NON-MINORITY,Lawrence,11559,
MBE,LBE,ASIAN,Brooklyn,11230,
MBE,HISPANIC,Lynbrook,11563,
MBE,BLACK,Newark,7104,
WBE,NON-MINORITY,College Point,11356,
MBE,ASIAN,Berkeley Heights,7922,
MBE,WBE,LBE,HISPANIC,New York,10040
MBE,ASIAN,East Elmhurst,11370,
LBE,Astoria,11106,
MBE,WBE,HISPANIC,New York,10001,
MBE,LBE,BLACK,Bronx,10457,
MBE,WBE,BLACK,South Ozone Park,11420,
MBE,ASIAN,Congers,10920,
MBE,BLACK,Bronx,10456,
MBE,ASIAN,Brooklyn,11219,
MBE,ASIAN,Bayside,11360,
WBE,NON-MINORITY,New York,10001,
MBE,HISPANIC,Bronx,10462,
MBE,LBE,BLACK,Bronx,10470,
MBE,ASIAN,Plainview,11803,
